borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Bronx,2019-08-26,507849.0,425561.0,317896,107665,189953
Queens,2019-08-26,933248.0,856399.0,594025,262374,339223
Brooklyn,2019-08-26,923967.0,825622.0,631932,193690,292035
Staten Island,2019-09-02,314635.0,249679.0,225240,24439,89395
Manhattan,2019-09-02,737336.0,1305140.0,590551,714589,146785
Bronx,2019-09-02,570177.0,479302.0,363249,116053,206928
Queens,2019-09-02,1034735.0,933407.0,676690,256717,358045
Brooklyn,2019-09-02,1047448.0,950843.0,740116,210727,307332
Staten Island,2019-09-09,326687.0,257103.0,231019,26084,95668
Manhattan,2019-09-09,789235.0,1460409.0,641288,819121,147947
Bronx,2019-09-09,644858.0,573859.0,421074,152785,223784
Queens,2019-09-09,1085839.0,964652.0,705309,259343,380530
Brooklyn,2019-09-09,1125728.0,1005807.0,781883,223924,343845
Staten Island,2019-09-16,326638.0,256088.0,230841,25247,95797
Manhattan,2019-09-16,756008.0,1406290.0,612572,793718,143436
Bronx,2019-09-16,625526.0,561053.0,407997,153056,217529
Queens,2019-09-16,1063454.0,932700.0,691113,241587,372341
Brooklyn,2019-09-16,1113028.0,1015962.0,785363,230599,327665
Staten Island,2019-09-23,308421.0,242321.0,219239,23082,89182
Manhattan,2019-09-23,657314.0,1242114.0,538645,703469,118669
Bronx,2019-09-23,514135.0,437552.0,333377,104175,180758
Queens,2019-09-23,960558.0,864157.0,631609,232548,328949
Brooklyn,2019-09-23,959481.0,871119.0,679445,191674,280036
Staten Island,2019-09-30,307039.0,240644.0,216707,23937,90332
Manhattan,2019-09-30,626550.0,1190945.0,504504,686441,122046
Bronx,2019-09-30,514122.0,448252.0,329981,118271,184141
Queens,2019-09-30,945369.0,836970.0,614724,222246,330645
Brooklyn,2019-09-30,959441.0,882189.0,680150,202039,279291
Staten Island,2019-10-07,290574.0,228979.0,205573,23406,85001
Manhattan,2019-10-07,608677.0,1145543.0,492664,652879,116013
Bronx,2019-10-07,504488.0,428569.0,324912,103657,179576
Queens,2019-10-07,920198.0,825473.0,602563,222910,317635
Brooklyn,2019-10-07,912345.0,821562.0,641727,179835,270618
Staten Island,2019-10-14,290505.0,229790.0,205992,23798,84513
Manhattan,2019-10-14,626622.0,1169338.0,508355,660983,118267
Bronx,2019-10-14,512283.0,438491.0,328789,109702,183494
Queens,2019-10-14,941522.0,842439.0,619559,222880,321963
Brooklyn,2019-10-14,936903.0,844374.0,660799,183575,276104
Staten Island,2019-10-21,287115.0,227976.0,205755,22221,81360
Manhattan,2019-10-21,623940.0,1181956.0,511518,670438,112422
Bronx,2019-10-21,517800.0,434974.0,335245,99729,182555
Queens,2019-10-21,941696.0,843300.0,623020,220280,318676
Brooklyn,2019-10-21,951113.0,862236.0,676530,185706,274583
Staten Island,2019-10-28,285218.0,230490.0,209017,21473,76201
Manhattan,2019-10-28,573905.0,1098155.0,473361,624794,100544
Bronx,2019-10-28,486479.0,410114.0,317894,92220,168585
Queens,2019-10-28,914982.0,816096.0,609694,206402,305288
Brooklyn,2019-10-28,914317.0,834005.0,659790,174215,254527
Staten Island,2019-11-04,284655.0,227604.0,205141,22463,79514
Manhattan,2019-11-04,524372.0,1058705.0,424053,634652,100319
Bronx,2019-11-04,465643.0,390831.0,297789,93042,167854
Queens,2019-11-04,900255.0,802732.0,590334,212398,309921
Brooklyn,2019-11-04,880303.0,805269.0,628466,176803,251837
Staten Island,2019-11-11,281806.0,226401.0,204291,22110,77515
Manhattan,2019-11-11,528427.0,1064182.0,431902,632280,96525
Bronx,2019-11-11,455109.0,380277.0,291544,88733,163565
Queens,2019-11-11,892863.0,791253.0,587047,204206,305816
Brooklyn,2019-11-11,872490.0,797112.0,624230,172882,248260
Staten Island,2019-11-18,277587.0,222681.0,201285,21396,76302
Manhattan,2019-11-18,525900.0,1052746.0,430002,622744,95898
Bronx,2019-11-18,451538.0,378564.0,291052,87512,160486
Queens,2019-11-18,884059.0,786737.0,585195,201542,298864
Brooklyn,2019-11-18,868610.0,798119.0,623966,174153,244644
Staten Island,2019-11-25,274016.0,225631.0,201600,24031,72416
Manhattan,2019-11-25,484538.0,925871.0,373838,552033,110700
Bronx,2019-11-25,447300.0,382415.0,293409,89006,153891
Queens,2019-11-25,878271.0,784438.0,583039,201399,295232
Brooklyn,2019-11-25,852629.0,776747.0,615978,160769,236651
Staten Island,2019-12-02,286491.0,226222.0,203959,22263,82532
Manhattan,2019-12-02,508910.0,1087060.0,414628,672432,94282
Bronx,2019-12-02,457151.0,379307.0,288299,91008,168852
Queens,2019-12-02,900066.0,795161.0,588001,207160,312065
Brooklyn,2019-12-02,880278.0,802087.0,623518,178569,256760
Staten Island,2019-12-09,296568.0,237849.0,213814,24035,82754
Manhattan,2019-12-09,528381.0,1141899.0,432836,709063,95545
Bronx,2019-12-09,474433.0,393120.0,300546,92574,173887
Queens,2019-12-09,921923.0,808544.0,600918,207626,321005
Brooklyn,2019-12-09,911393.0,829562.0,648559,181003,262834
Staten Island,2019-12-16,311028.0,251255.0,227169,24086,83859
Manhattan,2019-12-16,508006.0,1104419.0,406935,697484,101071
Bronx,2019-12-16,494723.0,408926.0,316668,92258,178055
Queens,2019-12-16,956064.0,847800.0,624876,222924,331188
Brooklyn,2019-12-16,926285.0,844600.0,664829,179771,261456
Staten Island,2019-12-23,257498.0,207895.0,181577,26318,75921
Manhattan,2019-12-23,398439.0,886816.0,300171,586645,98268
Bronx,2019-12-23,421586.0,355042.0,271446,83596,150140
Queens,2019-12-23,837105.0,756917.0,546585,210332,290520
Brooklyn,2019-12-23,801622.0,728534.0,573810,154724,227812
Staten Island,2019-12-30,273317.0,221115.0,197703,23412,75614
Manhattan,2019-12-30,481752.0,956872.0,379077,577795,102675
Bronx,2019-12-30,475269.0,403270.0,312212,91058,163057
Queens,2019-12-30,908014.0,835030.0,608144,226886,299870
Brooklyn,2019-12-30,859078.0,787116.0,621634,165482,237444
Staten Island,2020-01-06,302163.0,240979.0,216640,24339,85523
Manhattan,2020-01-06,569013.0,1195300.0,462277,733023,106736
Bronx,2020-01-06,577507.0,482362.0,375174,107188,202333
Queens,2020-01-06,1027657.0,922964.0,683337,239627,344320
Brooklyn,2020-01-06,999392.0,910083.0,715900,194183,283492
Staten Island,2020-01-13,283723.0,227539.0,204814,22725,78909
Manhattan,2020-01-13,493893.0,1053494.0,398945,654549,94948
Bronx,2020-01-13,529741.0,444575.0,347691,96884,182050
Queens,2020-01-13,947039.0,858036.0,634913,223123,312126
Brooklyn,2020-01-13,919804.0,845652.0,665472,180180,254332
Staten Island,2020-01-20,289047.0,230552.0,207466,23086,81581
Manhattan,2020-01-20,476031.0,1001883.0,384439,617444,91592
Bronx,2020-01-20,510826.0,429747.0,335370,94377,175456
Queens,2020-01-20,931650.0,840517.0,624122,216395,307528
Brooklyn,2020-01-20,882941.0,818571.0,641796,176775,241145
Staten Island,2020-01-27,289108.0,230796.0,208090,22706,81018
Manhattan,2020-01-27,466999.0,1011249.0,376183,635066,90816
Bronx,2020-01-27,538784.0,452400.0,352964,99436,185820
Queens,2020-01-27,935537.0,828964.0,621974,206990,313563
Brooklyn,2020-01-27,917524.0,860601.0,672975,187626,244549
Staten Island,2020-02-03,272430.0,216084.0,194515,21569,77915
Manhattan,2020-02-03,389084.0,902912.0,303969,598943,85115
Bronx,2020-02-03,479089.0,390712.0,298359,92353,180730
Queens,2020-02-03,835088.0,739024.0,545899,193125,289189
Brooklyn,2020-02-03,810592.0,749507.0,578796,170711,231796
Staten Island,2020-02-10,266803.0,211617.0,191024,20593,75779
Manhattan,2020-02-10,353457.0,836249.0,271742,564507,81715
Bronx,2020-02-10,435693.0,351739.0,267903,83836,167790
Queens,2020-02-10,793280.0,721279.0,518019,203260,275261
Brooklyn,2020-02-10,751709.0,689183.0,532535,156648,219174
Staten Island,2020-02-17,253587.0,195128.0,174452,20676,79135
Manhattan,2020-02-17,317786.0,758399.0,238607,519792,79179
Bronx,2020-02-17,374397.0,300419.0,224037,76382,150360
Queens,2020-02-17,726977.0,654157.0,458043,196114,268934
Brooklyn,2020-02-17,680511.0,618545.0,470564,147981,209947
Staten Island,2020-02-24,282084.0,224911.0,202537,22374,79547
Manhattan,2020-02-24,454110.0,993324.0,364258,629066,89852
Bronx,2020-02-24,533774.0,437105.0,342017,95088,191757
Queens,2020-02-24,896047.0,804596.0,596223,208373,299824
Brooklyn,2020-02-24,885790.0,825207.0,645925,179282,239865
Staten Island,2020-03-02,288412.0,232036.0,210472,21564,77940
Manhattan,2020-03-02,424927.0,920187.0,342763,577424,82164
Bronx,2020-03-02,506543.0,414946.0,325373,89573,181170
Queens,2020-03-02,871971.0,774415.0,583596,190819,288375
Brooklyn,2020-03-02,858522.0,806926.0,635810,171116,222712
Staten Island,2020-03-09,255634.0,209424.0,191436,17988,64198
Manhattan,2020-03-09,362749.0,749765.0,287906,461859,74843
Bronx,2020-03-09,474540.0,393949.0,314122,79827,160418
Queens,2020-03-09,805962.0,720814.0,553870,166944,252092
Brooklyn,2020-03-09,793695.0,752622.0,606612,146010,187083
Staten Island,2020-03-16,129576.0,105362.0,96141,9221,33435
Manhattan,2020-03-16,181447.0,338737.0,138339,200398,43108
Bronx,2020-03-16,290764.0,255395.0,203878,51517,86886
Queens,2020-03-16,455882.0,418035.0,325082,92953,130800
Brooklyn,2020-03-16,455888.0,450555.0,364267,86288,91621
Staten Island,2020-03-23,85503.0,71737.0,65391,6346,20112
Manhattan,2020-03-23,130140.0,220556.0,104873,115683,25267
Bronx,2020-03-23,206719.0,186709.0,151531,35178,55188
Queens,2020-03-23,290677.0,270687.0,215393,55294,75284
Brooklyn,2020-03-23,315410.0,314613.0,259463,55150,55947
Staten Island,2020-03-30,84072.0,71477.0,65624,5853,18448
Manhattan,2020-03-30,116513.0,183628.0,92663,90965,23850
Bronx,2020-03-30,189111.0,173124.0,140446,32678,48665
Queens,2020-03-30,263821.0,243310.0,195041,48269,68780
Brooklyn,2020-03-30,287661.0,287578.0,238793,48785,48868
Staten Island,2020-04-06,81501.0,69331.0,63830,5501,17671
Manhattan,2020-04-06,104540.0,163189.0,82686,80503,21854
Bronx,2020-04-06,159708.0,147179.0,117703,29476,42005
Queens,2020-04-06,242952.0,221994.0,177983,44011,64969
Brooklyn,2020-04-06,258126.0,257317.0,212893,44424,45233
Staten Island,2020-04-13,82488.0,69612.0,63832,5780,18656
Manhattan,2020-04-13,102625.0,159980.0,80778,79202,21847
Bronx,2020-04-13,159444.0,146339.0,117076,29263,42368
