census_tract,population,poi_count,poi_diversity,poi_per_capita
360050075002,2731,7,7,0.0025631636799707067
360050075004,628,6,3,0.009554140143312103
360050076001,631,6,5,0.009508716339144215
360050076002,1294,4,2,0.003091190115919629
360050076004,1387,5,4,0.0036049026748377795
360050076005,963,15,6,0.015576323997923157
360050077001,2040,18,7,0.008823529416666667
360050078001,1612,7,5,0.004342431767990074
360050078002,2326,6,2,0.0025795356878761822
360050078003,1682,6,5,0.003567181932223543
360050078004,915,1,1,0.0010928961857923497
360050079001,1580,7,5,0.004430379753164557
360050079002,748,4,3,0.005347593596256684
360050079003,1052,8,4,0.00760456274714829
360050079004,1559,3,3,0.0019243104618345093
360050079006,1248,2,1,0.001602564110576923
360050083001,832,6,4,0.007211538473557692
360050083003,1666,1,1,0.0006002401020408163
360050083004,1973,14,7,0.007095793213380639
360050083005,985,11,5,0.011167512700507615
360050083006,831,11,6,0.013237063790613719
360050084002,1829,4,2,0.0021869874302897756
360050085001,754,19,9,0.02519893900530504
360050085002,1905,10,4,0.005249343837270342
360050085003,1291,2,2,0.0015491866847405112
360050085004,735,3,2,0.004081632666666666
360050085005,1721,6,3,0.003486345153980244
360050086001,899,2,2,0.0022246941156840935
360050086003,1381,3,2,0.0021723388921071687
360050087001,1643,13,9,0.007912355453438833
360050087002,1818,1,1,0.0005500550110011001
360050087003,606,1,1,0.0016501650330033003
360050087004,912,1,1,0.0010964912390350877
360050087005,1441,10,7,0.006939625267175573
360050089001,1900,13,9,0.006842105268421053
360050089002,1423,7,5,0.0049191848278285315
360050090001,34,3,3,0.0882352944117647
360050090002,163,28,15,0.1717791411656442
360050090003,743,8,6,0.010767160174966353
360050090004,996,8,5,0.008032128524096386
360050092001,828,5,5,0.006038647355072464
360050092002,874,6,4,0.00686498856979405
360050092003,1664,35,12,0.02103365385216346
360050092004,1025,10,4,0.009756097570731708
360050092005,1584,3,3,0.0018939394002525252
360050093001,24,31,10,1.2916666670833334
360050093002,869,17,13,0.01956271577675489
360050093003,2107,3,2,0.0014238253488372092
360050093004,1470,6,3,0.004081632659863946
360050093005,1289,5,4,0.0038789759581070596
360050093006,842,70,17,0.08313539193586697
360050096001,1917,8,5,0.004173187276995305
360050096002,680,46,20,0.0676470588382353
360050098001,1257,3,1,0.0023866348528241844
360050098002,700,2,2,0.0028571428714285712
360050098003,909,7,5,0.007700770088008801
360050098004,902,2,1,0.002217294911308204
360050098005,1538,1,1,0.0006501950650195058
360050110001,151,4,4,0.026490066291390727
360050115021,2147,15,8,0.006986492785281789
360050115022,1298,4,3,0.0030816641063174115
360050115023,1211,4,3,0.003303055334434352
360050117001,1536,13,9,0.008463541673177083
360050117002,0,72,12,1e-08
360050118001,2692,9,3,0.003343239231054978
360050118002,1118,2,2,0.0017889087745974954
360050118003,1457,3,3,0.002059025401509952
360050119001,2505,24,8,0.00958083832734531
360050119002,877,1,1,0.00114025086659065
360050119004,720,1,1,0.0013888889027777777
360050121011,1170,10,7,0.008547008555555556
360050121012,1705,2,2,0.0011730205337243402
360050121021,1682,15,6,0.008917954821640903
360050123001,1409,10,6,0.007097232086586232
360050123002,1371,3,3,0.002188183814733771
360050123003,1113,4,4,0.0035938903953279424
360050125001,2935,15,10,0.005110732541737649
360050125002,1376,3,3,0.0021802325654069767
360050127011,893,4,4,0.004479283325867861
360050127012,1061,15,9,0.014137606041470312
360050129011,1711,12,4,0.007013442437171245
360050129012,2529,12,9,0.004744958485567418
360050130001,1447,13,5,0.008984105051831375
360050131001,805,3,2,0.003726708086956522
360050131002,2255,7,3,0.003104212864745011
360050131003,1948,7,6,0.0035934291632443533
360050132004,1817,8,4,0.004402861865712713
360050132005,1511,2,1,0.0013236267438782262
360050133001,1746,2,1,0.0011454753780068727
360050133002,1613,6,5,0.0037197768195908246
360050133003,1360,1,1,0.000735294125
360050135001,842,2,1,0.0023752969239904985
360050135003,1415,4,4,0.002826855130742049
360050138001,1867,1,1,0.000535618644884842
360050138002,927,4,4,0.004314994617044229
360050141001,1445,8,5,0.005536332186851211
360050141002,2002,8,4,0.003996004000999001
